MULTICAST -----> udp://@225.1.1.88 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:30|STATUS_PLAYING udp://@225.1.1.88:2000
MULTICAST -----> udp://@225.1.1.76 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:32|INFORMATION_RECEIVED udp://@225.1.1.76:2000
MULTICAST -----> udp://@225.1.1.76 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:32|STATUS_PLAYING udp://@225.1.1.76:2000
MULTICAST -----> udp://@225.1.1.85 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:34|INFORMATION_RECEIVED udp://@225.1.1.85:2000
MULTICAST -----> udp://@225.1.1.85 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:34|STATUS_PLAYING udp://@225.1.1.85:2000
MULTICAST -----> udp://@225.1.1.84 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:35|INFORMATION_RECEIVED udp://@225.1.1.84:2000
MULTICAST -----> udp://@225.1.1.84 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:36|STATUS_PLAYING udp://@225.1.1.84:2000
MULTICAST -----> udp://@225.1.1.83 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:37|INFORMATION_RECEIVED udp://@225.1.1.83:2000
MULTICAST -----> udp://@225.1.1.83 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:37|STATUS_PLAYING udp://@225.1.1.83:2000
MULTICAST -----> udp://@225.1.1.43 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:39|INFORMATION_RECEIVED udp://@225.1.1.43:2000
MULTICAST -----> udp://@225.1.1.43 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:39|STATUS_PLAYING udp://@225.1.1.43:2000
MULTICAST -----> udp://@225.1.1.44 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:41|INFORMATION_RECEIVED udp://@225.1.1.44:2000
MULTICAST -----> udp://@225.1.1.44 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:41|STATUS_PLAYING udp://@225.1.1.44:2000
MULTICAST -----> udp://@225.1.1.45 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:42|INFORMATION_RECEIVED udp://@225.1.1.45:2000
MULTICAST -----> udp://@225.1.1.45 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:43|STATUS_PLAYING udp://@225.1.1.45:2000
MULTICAST -----> udp://@225.1.1.46 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:46|INFORMATION_RECEIVED udp://@225.1.1.46:2000
MULTICAST -----> udp://@225.1.1.46 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:46|STATUS_PLAYING udp://@225.1.1.46:2000
MULTICAST -----> udp://@225.1.1.31 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:48|INFORMATION_RECEIVED udp://@225.1.1.31:2000
MULTICAST -----> udp://@225.1.1.31 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:49|STATUS_PLAYING udp://@225.1.1.31:2000
MULTICAST -----> udp://@225.1.1.48 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:51|INFORMATION_RECEIVED udp://@225.1.1.48:2000
MULTICAST -----> udp://@225.1.1.48 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:35:51|STATUS_PLAYING udp://@225.1.1.48:2000
